Date : 2025-06-10 00:23:15
Directory : c:\Users\name\Documents\mygame
Total : 491 files,  13062 codes, 267 comments, 3290 blanks, all 16619 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientCartVariantRequest.java                  | Java            |          7 |          0 |          3 |         10 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientCartVariantResponse.java                 | Java            |         28 |          0 |          5 |         33 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientCategoryResponse.java                    | Java            |         17 |          0 |          4 |         21 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientConfirmedOrderResponse.java              | Java            |         11 |          0 |          3 |         14 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientEmailSettingUserRequest.java             | Java            |          6 |          0 |          3 |          9 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientFilterResponse.java                      | Java            |         12 |          1 |          4 |         17 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientListedProductResponse.java               | Java            |         28 |          0 |          5 |         33 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientOrderDetailResponse.java                 | Java            |         29 |          0 |          4 |         33 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientOrderRequest.java                        | Java            |         30 |          0 |          4 |         34 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientOrderResponse.java                       | Java            |         37 |          0 |          4 |         41 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientOrderVariantResponse.java                | Java            |         28 |          0 |          6 |         34 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientPasswordSettingUserRequest.java          | Java            |          7 |          0 |          3 |         10 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientPersonalSettingUserRequest.java          | Java            |         10 |          0 |          3 |         13 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientPhoneSettingUserRequest.java             | Java            |          6 |          0 |          3 |          9 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientPreorderRequest.java                     | Java            |         10 |          0 |          3 |         13 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientPreorderResponse.java                    | Java            |         13 |          0 |          4 |         17 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientProductResponse.java                     | Java            |         47 |          0 |          6 |         53 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientPromotionResponse.java                   | Java            |          7 |          0 |          3 |         10 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientReviewRequest.java                       | Java            |         12 |          0 |          3 |         15 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientReviewResponse.java                      | Java            |         18 |          0 |          4 |         22 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientRewardLogResponse.java                   | Java            |         12 |          0 |          4 |         16 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientRewardResponse.java                      | Java            |          8 |          0 |          4 |         12 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientSimpleOrderRequest.java                  | Java            |          7 |          0 |          3 |         10 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientSimpleOrderResponse.java                 | Java            |         15 |          0 |          4 |         19 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientSimpleReviewResponse.java                | Java            |         25 |          0 |          5 |         30 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientWaybillResponse.java                     | Java            |         20 |          0 |          5 |         25 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientWishRequest.java                         | Java            |          7 |          0 |          3 |         10 |
